Country,Species,Habitat/setting,"Bird, Mammal, Human"
Canada,American Black Duck,Wild,Bird
USA,American Black Duck,Wild,Bird
USA,American Green-Winged Teal,Wild,Bird
Canada,American Wigeon,Wild,Bird
USA,American Wigeon,Wild,Bird
India,Aquatic Bird,Wild,Bird
South Korea,Aquatic Bird,Wild,Bird
Viet Nam,Aquatic Bird,Wild,Bird
Hong Kong,Avian,Unknown,Bird
Israel,Avian,Unknown,Bird
Japan,Avian,Unknown,Bird
Saudi Arabia,Avian,Unknown,Bird
USA,Avian,Unknown,Bird
Viet Nam,Babbler,Wild,Bird
China,Baikal Teal,Wild,Bird
South Korea,Baikal Teal,Wild,Bird
China,Bar-Headed Goose,Wild,Bird
Mongolia,Bar-Headed Goose,Wild,Bird
Hong Kong,Barn Swallow,Wild,Bird
Netherlands,Barnacle Goose,Wild,Bird
Netherlands,Bewick's Swan,Wild,Bird
China,Bird,Wild,Bird
South Korea,Bird,Wild,Bird
USA,Bird,Wild,Bird
Viet Nam,Bird,Wild,Bird
Australia,Black Duck,Wild,Bird
USA,Black Duck,Wild,Bird
Canada,Black Scoter,Wild,Bird
USA,Black Scoter,Wild,Bird
China,Black-Billed Magpie,Wild,Bird
Georgia,Black-Headed Gull,Wild,Bird
Iceland,Black-Headed Gull,Wild,Bird
Mongolia,Black-Headed Gull,Wild,Bird
Netherlands,Black-Headed Gull,Wild,Bird
Sweden,Black-Headed Gull,Wild,Bird
Canada,Blue-Winged Teal,Wild,Bird
Guatemala,Blue-Winged Teal,Wild,Bird
USA,Blue-Winged Teal,Wild,Bird
China,Brown-Headed Gull,Wild,Bird
Canada,Bufflehead,Wild,Bird
USA,Bufflehead,Wild,Bird
Mongolia,Camel,Domestic,Mammal
Canada,Canada Goose,Wild,Bird
USA,Canada Goose,Wild,Bird
China,Canvasback,Wild,Bird
Afghanistan,Chicken,Domestic,Bird
Australia,Chicken,Domestic,Bird
Bangladesh,Chicken,Domestic,Bird
Bhutan,Chicken,Domestic,Bird
Cambodia,Chicken,Domestic,Bird
Canada,Chicken,Domestic,Bird
China,Chicken,Domestic,Bird
Cote dIvoire,Chicken,Domestic,Bird
Egypt,Chicken,Domestic,Bird
Germany,Chicken,Domestic,Bird
Guatemala,Chicken,Domestic,Bird
Hong Kong,Chicken,Domestic,Bird
India,Chicken,Domestic,Bird
Indonesia,Chicken,Domestic,Bird
Iran,Chicken,Domestic,Bird
Israel,Chicken,Domestic,Bird
Italy,Chicken,Domestic,Bird
Japan,Chicken,Domestic,Bird
Kuwait,Chicken,Domestic,Bird
Laos,Chicken,Domestic,Bird
Mexico,Chicken,Domestic,Bird
Myanmar,Chicken,Domestic,Bird
Netherlands,Chicken,Domestic,Bird
Nigeria,Chicken,Domestic,Bird
Pakistan,Chicken,Domestic,Bird
Poland,Chicken,Domestic,Bird
Russia,Chicken,Domestic,Bird
South Korea,Chicken,Domestic,Bird
Sudan,Chicken,Domestic,Bird
Taiwan,Chicken,Domestic,Bird
Thailand,Chicken,Domestic,Bird
USA,Chicken,Domestic,Bird
United Arab Emirates,Chicken,Domestic,Bird
Viet Nam,Chicken,Domestic,Bird
China,Chinese Francolin,Wild,Bird
Hong Kong,Chukar,Wild,Bird
USA,Chukar,Wild,Bird
Mexico,Cinnamon Teal,Wild,Bird
USA,Cinnamon Teal,Wild,Bird
Canada,Common Coot,Wild,Bird
South Korea,Common Coot,Wild,Bird
Netherlands,Common Eider,Wild,Bird
USA,Common Eider,Wild,Bird
Mongolia,Common Goldeneye,Wild,Bird
USA,Common Goldeneye,Wild,Bird
USA,Common Murre,Wild,Bird
USA,Common Scoter,Wild,Bird
China,Condor,Wild,Bird
USA,Coot,Wild,Bird
China,Crane,Wild,Bird
Japan,Crane,Wild,Bird
India,Crow,Wild,Bird
Japan,Crow,Wild,Bird
China,Dog,Domestic,Mammal
South Korea,Dog,Domestic,Mammal
Taiwan,Dog,Domestic,Mammal
USA,Dog,Domestic,Mammal
China,Domestic Cat,Domestic,Mammal
South Korea,Domestic Cat,Domestic,Mammal
USA,Dove,Wild,Bird
Viet Nam,Dove,Wild,Bird
Australia,Duck,Wild,Bird
Bangladesh,Duck,Domestic,Bird
Cambodia,Duck,Domestic,Bird
Canada,Duck,Wild,Bird
China,Duck,Domestic,Bird
Cote dIvoire,Duck,Domestic,Bird
Denmark,Duck,Wild,Bird
Egypt,Duck,Domestic,Bird
France,Duck,Wild,Bird
Georgia,Duck,Wild,Bird
Germany,Duck,Wild,Bird
Hong Kong,Duck,Domestic,Bird
Indonesia,Duck,Domestic,Bird
Italy,Duck,Wild,Bird
Japan,Duck,Domestic,Bird
Laos,Duck,Domestic,Bird
Malaysia,Duck,Domestic,Bird
Mongolia,Duck,Wild,Bird
Niger,Duck,Wild,Bird
Russia,Duck,Wild,Bird
South Korea,Duck,Domestic,Bird
Taiwan,Duck,Domestic,Bird
Thailand,Duck,Domestic,Bird
USA,Duck,Wild,Bird
Viet Nam,Duck,Domestic,Bird
Zambia,Duck,Domestic,Bird
Sweden,Dunlin,Wild,Bird
Japan,Eagle,Wild,Bird
China,Egret,Wild,Bird
Hong Kong,Egret,Wild,Bird
Australia,Emu,Wild,Bird
USA,Emu,Wild,Bird
Bangladesh,Environment,Unknown,Unknown
Cambodia,Environment,Unknown,Unknown
China,Environment,Unknown,Unknown
Hong Kong,Environment,Unknown,Unknown
Laos,Environment,Unknown,Unknown
South Korea,Environment,Unknown,Unknown
USA,Environment,Unknown,Unknown
Viet Nam,Environment,Unknown,Unknown
South Korea,Eurasian Eagle-Owl,Wild,Bird
China,Eurasian Teal,Wild,Bird
Hong Kong,Eurasian Wigeon,Wild,Bird
Netherlands,Eurasian Wigeon,Wild,Bird
Sweden,Eurasian Wigeon,Wild,Bird
Japan,Falcon,Wild,Bird
Saudi Arabia,Falcon,Wild,Bird
USA,Falcon,Wild,Bird
Indonesia,Ferret,Wild,Mammal
Taiwan,Ferret,Wild,Mammal
China,Finch,Wild,Bird
Viet Nam,Flycatcher,Wild,Bird
Canada,Gadwall,Wild,Bird
Russia,Gadwall,Wild,Bird
USA,Gadwall,Wild,Bird
China,Garganey,Wild,Bird
Georgia,Garganey,Wild,Bird
Russia,Garganey,Wild,Bird
Iceland,Glaucous Gull,Wild,Bird
Canada,Goose,Wild,Bird
China,Goose,Domestic,Bird
Egypt,Goose,Domestic,Bird
Hungary,Goose,Wild,Bird
Iceland,Goose,Wild,Bird
India,Goose,Domestic,Bird
Netherlands,Goose,Wild,Bird
Russia,Goose,Wild,Bird
South Korea,Goose,Domestic,Bird
USA,Goose,Wild,Bird
Viet Nam,Goose,Domestic,Bird
China,Great Black-Headed Gull,Wild,Bird
Russia,Great Crested Grebe,Wild,Bird
