Collector Institution	Collection Date	Country	State / Province	Host Species	Host Common Name	Subtype	Flu Test Status	Type	Strain Name	Contact Email Address	Bird Behavior	Age	Health	
American University of Beirut, Beirut, Lebanon	08/04/2009	Lebanon	Baalbek	Coturnix sp.	Quail	H9N2	Positive	A	A/quail/Lebanon/273/2010(H9N2)	fluquery@yahoo.com	Domestic	Hatch Year	Healthy	
American University of Beirut, Beirut, Lebanon	08/04/2009	Lebanon	Baalbek	Coturnix sp.	Quail	H9N2	Positive	A	A/quail/Lebanon/272/2010(H9N2)	fluquery@yahoo.com	Domestic	Hatch Year	Healthy	
CHPPH, University of Babes-Bolyai, Romania	03/13/2010	Romania	Tulcea	Gallus gallus domesticus	Domestic Chicken	H5N1	Positive	A	A/chicken/Romania/543-2/2010(H5N1)	fluquery@yahoo.com	Domestic	Undetermined	Dead	
Chulalongkorn University	11/03/2010	Thailand	Phitsanulok	Anas platyrhynchos [var. domesticus]	Mallard (Domestic)	H7N6	Positive	A	A/duck/Thailand/CU-LM7291T/2010(H7N6),A/duck/Thailand/CU-LM7291C/2010(H7N6)	mceirs@umn.edu	Domestic	Adult	Healthy	
Chulalongkorn University	11/03/2010	Thailand	Phitsanulok	Anas platyrhynchos [var. domesticus]	Mallard (Domestic)	H7N6	Positive	A	A/duck/Thailand/CU-LM7294T/2010(H7N6)	mceirs@umn.edu	Domestic	Adult	Healthy	
Chulalongkorn University	11/03/2010	Thailand	Phitsanulok	Cairina moschata	Muscovy Duck	H7N6	Positive	A	A/duck/Thailand/CU-LM7297T/2010(H7N6)	mceirs@umn.edu	Domestic	Adult	Healthy	
Chulalongkorn University	11/03/2010	Thailand	Phitsanulok	Cairina moschata	Muscovy Duck	H7N6	Positive	A	A/duck/Thailand/CU-LM7298T/2010(H7N6)	mceirs@umn.edu	Domestic	Adult	Healthy	
Chulalongkorn University	11/03/2010	Thailand	Phitsanulok	Cairina moschata	Muscovy Duck	H7N6	Positive	A	A/duck/Thailand/CU-LM7301T/2010(H7N6)	mceirs@umn.edu	Domestic	Adult	Healthy	
Chulalongkorn University	11/03/2010	Thailand	Phitsanulok	Cairina moschata	Muscovy Duck	H7N6	Positive	A	A/duck/Thailand/CU-LM7302T/2010(H7N6)	mceirs@umn.edu	Domestic	Adult	Healthy	
Chulalongkorn University	11/03/2010	Thailand	Phitsanulok	Cairina moschata	Muscovy Duck	H7N6	Positive	A	A/duck/Thailand/CU-LM7306C/2010(H7N6),A/duck/Thailand/CU-LM7306T/2010(H7N6)	mceirs@umn.edu	Domestic	Adult	Healthy	
Chulalongkorn University	11/03/2010	Thailand	Phitsanulok	Cairina moschata	Muscovy Duck	H7N6	Positive	A	A/duck/Thailand/CU-LM7308T/2010(H7N6),A/duck/Thailand/CU-LM7308C/2010(H7N6)	mceirs@umn.edu	Domestic	Adult	Healthy	
Chulalongkorn University	07/30/2009	Thailand	Suphan Buri	Anas platyrhynchos	Mallard	H11N3	Positive	A	A/duck/Thailand/CU5388/2009(H11N3)	mceirs@umn.edu	Domestic	Hatch Year	Healthy	
