Collector Institution	Collection Date	Country	State / Province	Host Species	Host Common Name	Subtype	Flu Test Status	Type	Strain Name	Contact Email Address	Age	Health	Behavior	
Carthage Veterinary Services, Ltd., Carthage, IL	05/06/2011	USA	Iowa	Sus scrofa domesticus	Swine	H1N2	Positive	A	A/swine/Iowa/17-0502/2011(H1N2)	fluquery@yahoo.com	Juvenile	Sick	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	05/06/2011	USA	Iowa	Sus scrofa domesticus	Swine	H1N2	Positive	A	A/swine/Iowa/17-0509/2011(H1N2)	fluquery@yahoo.com	Juvenile	Sick	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	05/06/2011	USA	Iowa	Sus scrofa domesticus	Swine	H1N2	Positive	A	A/swine/Iowa/17-0518/2011(H1N2)	fluquery@yahoo.com	Juvenile	Sick	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	04/12/2011	USA	Indiana	Sus scrofa domesticus	Swine	H1N1	Positive	A	A/swine/Indiana/23-0414/2011(H1N1)	fluquery@yahoo.com	Juvenile	Healthy	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	06/01/2011	USA	Indiana	Sus scrofa domesticus	Swine	H1N2	Positive	A	A/swine/Indiana/23-0603/2011(H1N2)	fluquery@yahoo.com	Juvenile	Healthy	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	06/01/2011	USA	Indiana	Sus scrofa domesticus	Swine	H1N2	Positive	A	A/swine/Indiana/23-0618/2011(H1N2)	fluquery@yahoo.com	Juvenile	Healthy	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	06/01/2011	USA	Indiana	Sus scrofa domesticus	Swine	H1N2	Positive	A	A/swine/Indiana/23-0627/2011(H1N2)	fluquery@yahoo.com	Juvenile	Healthy	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	04/18/2011	USA	Indiana	Sus scrofa domesticus	Swine	H3N2	Positive	A	A/swine/Indiana/28-0403/2011(H3N2)	fluquery@yahoo.com	Juvenile	Healthy	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	04/18/2011	USA	Indiana	Sus scrofa domesticus	Swine	H3N2	Positive	A	A/swine/Indiana/28-0410/2011(H3N2)	fluquery@yahoo.com	Juvenile	Healthy	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	04/18/2011	USA	Indiana	Sus scrofa domesticus	Swine	H3N2	Positive	A	A/swine/Indiana/28-0415/2011(H3N2)	fluquery@yahoo.com	Juvenile	Healthy	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	04/18/2011	USA	Indiana	Sus scrofa domesticus	Swine	H3N2	Positive	A	A/swine/Indiana/28-0419/2011(H3N2)	fluquery@yahoo.com	Juvenile	Healthy	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	06/13/2011	USA	Indiana	Sus scrofa domesticus	Swine	H1N2	Positive	A	A/swine/Indiana/30-0630/2011(H1N2)	fluquery@yahoo.com	Juvenile	Sick	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	08/31/2011	USA	Indiana	Sus scrofa domesticus	Swine	H1N2	Positive	A	A/swine/Indiana/26-0809/2011(H1N2)	fluquery@yahoo.com	Juvenile	Healthy	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	08/31/2011	USA	Indiana	Sus scrofa domesticus	Swine	H1N2	Positive	A	A/swine/Indiana/26-0818/2011(H1N2)	fluquery@yahoo.com	Juvenile	Healthy	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	08/31/2011	USA	Indiana	Sus scrofa domesticus	Swine	H1N2	Positive	A	A/swine/Indiana/26-0822/2011(H1N2)	fluquery@yahoo.com	Juvenile	Healthy	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	07/18/2011	USA	Indiana	Sus scrofa domesticus	Swine	H1N1	Positive	A	A/swine/Indiana/28-0705/2011(H1N1)	fluquery@yahoo.com	Juvenile	Sick	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	07/18/2011	USA	Indiana	Sus scrofa domesticus	Swine	H1N1	Positive	A	A/swine/Indiana/28-0715/2011(H1N1)	fluquery@yahoo.com	Juvenile	Sick	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	07/18/2011	USA	Indiana	Sus scrofa domesticus	Swine	H1N1	Positive	A	A/swine/Indiana/28-0726/2011(H1N1)	fluquery@yahoo.com	Juvenile	Sick	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	08/08/2011	USA	Indiana	Sus scrofa domesticus	Swine	H1N2	Positive	A	A/swine/Indiana/28-0803/2011(H1N2)	fluquery@yahoo.com	Juvenile	Sick	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	08/08/2011	USA	Indiana	Sus scrofa domesticus	Swine	H1N2	Positive	A	A/swine/Indiana/28-0804/2011(H1N2)	fluquery@yahoo.com	Juvenile	Sick	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	08/08/2011	USA	Indiana	Sus scrofa domesticus	Swine	H1N2	Positive	A	A/swine/Indiana/28-0818/2011(H1N2)	fluquery@yahoo.com	Juvenile	Sick	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	08/08/2011	USA	Indiana	Sus scrofa domesticus	Swine	H1N2	Positive	A	A/swine/Indiana/28-0827/2011(H1N2)	fluquery@yahoo.com	Juvenile	Sick	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	08/08/2011	USA	Indiana	Sus scrofa domesticus	Swine	H1N2	Positive	A	A/swine/Indiana/28-0830/2011(H1N2)	fluquery@yahoo.com	Juvenile	Sick	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	08/22/2011	USA	Indiana	Sus scrofa domesticus	Swine	H1N1	Positive	A	A/swine/Indiana/30-0801/2011(H1N1)	fluquery@yahoo.com	Juvenile	Sick	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	08/22/2011	USA	Indiana	Sus scrofa domesticus	Swine	H1N1	Positive	A	A/swine/Indiana/30-0816/2011(H1N1)	fluquery@yahoo.com	Juvenile	Sick	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	08/22/2011	USA	Indiana	Sus scrofa domesticus	Swine	H1N1	Positive	A	A/swine/Indiana/30-0824/2011(H1N1)	fluquery@yahoo.com	Juvenile	Sick	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	10/13/2011	USA	Indiana	Sus scrofa domesticus	Swine	H1N2	Positive	A	A/swine/Indiana/26-1021/2011(H1N2)	fluquery@yahoo.com	Juvenile	Sick	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	11/28/2011	USA	Indiana	Sus scrofa domesticus	Swine	H1N1	Positive	A	A/swine/Indiana/30-1017/2011(H1N1)	fluquery@yahoo.com	Juvenile	Sick	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	08/01/2009	USA	Iowa	Sus scrofa domesticus	Swine	H1N1	Positive	A	A/swine/Iowa/9-0805/2009(H1N1)	fluquery@yahoo.com	Adult	Sick	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	08/01/2009	USA	Iowa	Sus scrofa domesticus	Swine	H1N1	Positive	A	A/swine/Iowa/9-0814/2009(H1N1)	fluquery@yahoo.com	Adult	Sick	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	04/09/2010	USA	Indiana	Sus scrofa domesticus	Swine	H1N1	Positive	A	A/swine/Indiana/30-0428/2010(H1N1)	fluquery@yahoo.com	Juvenile	Sick	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	04/15/2010	USA	Indiana	Sus scrofa domesticus	Swine	H1N2	Positive	A	A/swine/Indiana/29-0404/2010(H1N2)	fluquery@yahoo.com	Juvenile	Sick	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	04/15/2010	USA	Indiana	Sus scrofa domesticus	Swine	H1N2	Positive	A	A/swine/Indiana/29-0408/2010(H1N2)	fluquery@yahoo.com	Juvenile	Sick	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	05/07/2010	USA	Iowa	Sus scrofa domesticus	Swine	H3N2	Positive	A	A/swine/Iowa/13-0505/2010(H3N2)	fluquery@yahoo.com	Adult	Healthy	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	05/07/2010	USA	Iowa	Sus scrofa domesticus	Swine	H3N2	Positive	A	A/swine/Iowa/13-0515/2010(H3N2)	fluquery@yahoo.com	Adult	Healthy	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	06/15/2010	USA	Iowa	Sus scrofa domesticus	Swine	H3N2	Positive	A	A/swine/Iowa/10-0628/2010(H3N2)	fluquery@yahoo.com	Juvenile	Sick	Domestic	
