,edge_type,pwi,segments_1,segments_2,segments_3,segments_4,segments_5,segments_6,segments_7,segments_8,sink,source,weight,weight_ct
0,reassortant,7.9977480000000005,,,,,,1.0,,,A/chicken/Jiangxi/14535/2014,A/chicken/Jiangxi/13264/2014,0.021739130434782608,1
1,reassortant,7.9707099999999995,,,,,,1.0,,,A/chicken/Jiangxi/14510/2014,A/chicken/Jiangxi/13264/2014,0.021739130434782608,1
2,reassortant,7.998342,,,,,,1.0,,,A/chicken/Jiangxi/14501/2014,A/chicken/Jiangxi/13264/2014,0.021739130434782608,1
3,full_complement,7.998462,0.999564,1.0,0.999547,1.0,0.999351,1.0,1.0,1.0,A/New York/1054/2007,A/New York/1052/2006,1.0,1
4,full_complement,7.991149,0.998257,0.996978,1.0,1.0,0.998701,0.997213,1.0,1.0,A/New York/1053/2006,A/New York/1052/2006,1.0,1
5,reassortant,7.696346,0.987719,,0.924686,0.982951,,,0.984725,0.949881,A/duck/Hunan/4056/2006,A/duck/Shantou/5480/2005,0.5,1
6,reassortant,7.857894,0.980845,,0.975207,,0.991984,,0.98004,0.988304,A/environment/California/7862/2008,A/northern pintail/Interior Alaska/8BM3658/2008,0.5,1
7,reassortant,7.518627,0.945817,0.949329,0.958048,0.944183,0.967974,,0.954545,,A/duck/Victoria/5384/2002,A/duck/Victoria/D23/1994,0.5,1
8,full_complement,7.739852,0.989637,0.984676,0.90308,0.977689,0.964099,0.960284,0.98004,0.980347,A/mallard/Stralsund/48-6/1981,A/mallard/Berlin/452-6/1980,1.0,1
9,full_complement,7.740432,0.989637,0.984238,0.90308,0.978261,0.964099,0.959574,0.98004,0.981503,A/mallard/Stralsund/55-6/1981,A/mallard/Berlin/452-6/1980,1.0,1
10,full_complement,7.740355,0.989637,0.984676,0.90308,0.977689,0.963446,0.960284,0.98004,0.981503,A/mallard/Stralsund/45-6/1981,A/mallard/Berlin/452-6/1980,1.0,1
11,full_complement,7.73748,0.989637,0.984676,0.901268,0.975973,0.964099,0.960284,0.98004,0.981503,A/duck/Rugen/88-4/1981,A/mallard/Berlin/452-6/1980,1.0,1
12,full_complement,7.732392,0.989637,0.980298,0.901268,0.975973,0.964099,0.959574,0.98004,0.981503,A/duck/Rugen/88-6/1981,A/mallard/Berlin/452-6/1980,1.0,1
13,full_complement,7.742727,0.989637,0.985114,0.90308,0.978261,0.964099,0.960993,0.98004,0.981503,A/mallard/Stralsund/55-4/1981,A/mallard/Berlin/452-6/1980,1.0,1
14,full_complement,7.736899,0.989637,0.984676,0.90308,0.976545,0.963446,0.960284,0.98004,0.979191,A/duck/Rugen/79-6/1981,A/mallard/Berlin/452-6/1980,1.0,1
15,full_complement,7.998679,0.999568,0.999567,0.999544,1.0,1.0,1.0,1.0,1.0,A/Peru/PER061/2011,A/Peru/PER043/2011,1.0,1
16,full_complement,7.725028,0.924545,0.9568220000000001,0.98596,0.962639,0.974675,0.982627,0.978044,0.959716,A/blue-winged teal/Ohio/12OS3128/2012,A/American green-winged teal/Wisconsin/11OS3592/2011,1.0,1
17,full_complement,7.994854,0.999568,0.998705,0.999547,0.999428,1.0,0.998604,0.999002,1.0,A/American black duck/Maryland/11OS3978/2012,A/American black duck/Maryland/11OS3898/2012,1.0,1
18,reassortant,7.813625,,0.981865,0.993207,,,,0.982036,0.995376,A/mallard/California/3956/2012,A/American black duck/Maryland/11OS3898/2012,0.5,1
19,reassortant,7.908939999999999,,0.997409,0.950976,0.995341,,,,,A/ruddy turnstone/New Jersey/AI03-444/2003,A/shorebird/Delaware Bay/127/2003,0.5,1
20,full_complement,7.874039000000001,0.999136,0.999568,0.999546,0.993593,0.995455,0.998611,0.964431,0.923699,A/ruddy turnstone/Delaware/AI03-114/2003,A/shorebird/Delaware Bay/127/2003,1.0,1
21,full_complement,7.96785,0.999136,0.997409,0.998188,0.981966,0.999346,0.995115,0.999002,0.997688,A/greater white-fronted goose/California/44358-112/2007,A/northern shoveler/California/HKWF115/2007,1.0,1
22,reassortant,7.878518000000001,0.999573,0.998718,,0.997706,0.96869,,0.9776050000000001,0.98427,A/northern shoveler/California/HKWF268/2007,A/northern shoveler/California/HKWF115/2007,0.5,1
23,full_complement,7.977043,0.998705,0.996978,0.998188,0.991856,0.999344,0.998592,0.998004,0.995376,A/greater white-fronted goose/California/44358-077/2007,A/northern shoveler/California/HKWF115/2007,1.0,1
24,full_complement,7.938709,0.991667,0.993404,0.993956,0.98881,0.993988,0.987943,0.994908,0.9940329999999999,A/swine/Illinois/A00843191/2013,A/swine/Indiana/A00968358/2012,1.0,1
25,full_complement,7.921721,0.996053,0.996922,0.997211,0.965842,0.995324,0.98227,0.992872,0.995227,A/swine/Minnesota/A01279807/2012,A/swine/Indiana/A00968358/2012,1.0,1
26,full_complement,7.991726,0.998684,0.99912,0.99907,0.998812,0.998664,0.998569,1.0,0.998807,A/Nanjing/4/2013,A/Anhui/1-YK_RG03/2013,0.14285714285714285,1
